"month","FedFundsRateMonthly","FedFundsDifference","DiffLog","FundsDetrend"
"1957-01-01","2.84","-0.1","-0.0257083567102069","0.469485765790171"
"1957-02-01","3.0","0.1600000000000001","0.040821994520255","0.6120925541831621"
"1957-03-01","2.96","-0.04","-0.0100503358535013","0.5555214127973009"
"1957-04-01","3.0","0.04","0.0100503358535013","0.5797585175997497"
"1957-05-01","3.0","0.0","0.0","0.5647857581270177"
"1957-06-01","3.0","0.0","0.0","0.5505805504702632"
"1957-07-01","2.99","-0.0099999999999997","-0.0025031302181184","0.527115952805842"
"1957-08-01","3.24","0.25","0.0607720383420942","0.764360775003393"
"1957-09-01","3.47","0.2299999999999999","0.0528251393816112","0.9822797596798325"
"1957-10-01","3.5","0.0299999999999998","0.0066889881507965","1.000831751606591"
"1957-11-01","3.28","-0.2200000000000002","-0.0501243871825689","0.7699680162359641"
"1957-12-01","2.98","-0.2999999999999998","-0.0726711902973589","0.45963209655302784"
"1958-01-01","2.72","-0.2599999999999998","-0.067558151011291","0.1897615944316211"
"1958-02-01","1.67","-1.0500000000000005","-0.3316451958728971","-0.8697094347983718"
"1958-03-01","1.2","-0.47","-0.193621112047888","-1.3488484000168997"
"1958-04-01","1.26","0.06","0.0269074529199243","-1.2977159993829661"
"1958-05-01","0.63","-0.63","-0.3267847984655235","-1.9363625232747101"
"1958-06-01","0.93","0.3","0.1689399880981231","-1.644828248829533"
"1958-07-01","0.68","-0.25","-0.1387262095016266","-1.9031385121159858"
"1958-08-01","1.53","0.85","0.4094255093242613","-1.0613059576266226"
"1958-09-01","1.76","0.2299999999999999","0.0870113769896295","-0.8393285451432548"
"1958-10-01","1.8","0.04","0.0143887374520996","-0.8071960453585161"
"1958-11-01","2.27","0.47","0.1551705677280039","-0.344891752664537"
"1958-12-01","2.42","0.1499999999999999","0.0448505661653517","-0.20239273308890127"
"1959-01-01","2.48","0.06","0.017391742711869","-0.149673391457398"
"1959-02-01","2.43","-0.0499999999999998","-0.0144720326085343","-0.2067065709234921"
"1959-03-01","2.8","0.3699999999999996","0.1024408055544914","0.15653604024663004"
"1959-04-01","2.96","0.1600000000000001","0.0412429585340492","0.3100843487448932"
"1959-05-01","2.9","-0.06","-0.0152674721307886","0.2439670534234044"
"1959-06-01","3.39","0.4900000000000002","0.1183526739514795","0.7282104605081239"
"1959-07-01","3.47","0.08","0.0180591815383974","0.8028389937631775"
"1959-08-01","3.5","0.0299999999999998","0.0066889881507965","0.8278714580448177"
"1959-09-01","3.76","0.2599999999999998","0.0561702714670544","1.083320463463974"
"1959-10-01","3.98","0.2200000000000002","0.045182222793233","1.2991922322345228"
"1959-11-01","4.0","0.02","0.0040080213975386","1.3154846276161463"
"1959-12-01","3.99","-0.0099999999999997","-0.0020020026706728","1.3021854882371047"
"1960-01-01","3.99","0.0","0.0","1.2992725023813092"
"1960-02-01","3.97","-0.02","-0.0040160696548898","1.2767133106051398"
"1960-03-01","3.84","-0.1300000000000003","-0.0265051193799972","1.1444655282141856"
"1960-04-01","3.92","0.08","0.0163938097756763","1.222476919331085"
"1960-05-01","3.85","-0.0699999999999998","-0.0143298255548249","1.1506864173259426"
"1960-06-01","3.32","-0.5300000000000002","-0.1157233026933728","0.6190235228765855"
