Date,Price,Open,High,Low,Vol.,Change %
06/20/2024,83.62,83.422,83.684,83.417,,0.19%
06/19/2024,83.46,83.394,83.491,83.34,,0.16%
06/18/2024,83.33,83.498,83.56,83.322,,-0.20%
06/17/2024,83.5,83.523,83.567,83.503,,-0.06%
06/14/2024,83.547,83.546,83.593,83.514,,0.01%
06/13/2024,83.54,83.507,83.575,83.487,,0.13%
06-12-2024,83.43,83.618,83.622,83.433,,-0.20%
06-11-2024,83.6,83.521,83.639,83.48,,0.12%
06-10-2024,83.5,83.53,83.551,83.468,,-0.03%
06-07-2024,83.521,83.472,83.529,83.365,,0.07%
06-06-2024,83.466,83.39,83.527,83.357,,0.11%
06-05-2024,83.37,83.539,83.585,83.277,,-0.18%
06-04-2024,83.524,83.12,83.676,83.085,,0.53%
06-03-2024,83.083,83.124,83.188,82.952,,-0.41%
05/31/2024,83.424,83.321,83.501,83.235,,0.17%
05/30/2024,83.28,83.363,83.442,83.246,,-0.07%
05/29/2024,83.34,83.197,83.411,83.172,,0.22%
05/28/2024,83.16,83.137,83.209,83.103,,0.07%
05/27/2024,83.102,83.07,83.147,83.034,,0.05%
05/24/2024,83.06,83.285,83.3,83.018,,-0.22%
05/23/2024,83.24,83.286,83.322,83.19,,0.02%
05/22/2024,83.22,83.324,83.328,83.21,,-0.04%
05/21/2024,83.25,83.297,83.373,83.226,,-0.04%
05/20/2024,83.28,83.302,83.328,83.224,,0.00%
05/17/2024,83.28,83.511,83.52,83.273,,-0.20%
05/16/2024,83.45,83.42,83.524,83.404,,0.05%
05/15/2024,83.411,83.503,83.529,83.409,,-0.08%
05/14/2024,83.482,83.529,83.55,83.472,,0.03%
05/13/2024,83.46,83.526,83.566,83.465,,-0.10%
05-10-2024,83.541,83.453,83.56,83.446,,0.12%
05-09-2024,83.441,83.476,83.527,83.432,,-0.03%
05-08-2024,83.462,83.466,83.535,83.449,,0.00%
05-07-2024,83.458,83.473,83.529,83.432,,-0.03%
05-06-2024,83.48,83.391,83.545,83.39,,0.12%
05-03-2024,83.376,83.42,83.482,83.308,,-0.07%
05-02-2024,83.435,83.43,83.503,83.401,,-0.02%
05-01-2024,83.455,83.474,83.532,83.446,,0.01%
04/30/2024,83.45,83.459,83.537,83.397,,0.05%
04/29/2024,83.41,83.385,83.513,83.352,,0.01%
04/26/2024,83.4,83.268,83.422,83.267,,0.11%
04/25/2024,83.31,83.338,83.402,83.255,,-0.01%
04/24/2024,83.319,83.28,83.362,83.257,,0.06%
04/23/2024,83.269,83.384,83.407,83.26,,-0.11%
04/22/2024,83.36,83.423,83.457,83.306,,0.00%
04/19/2024,83.358,83.548,83.721,83.362,,-0.21%
04/18/2024,83.53,83.59,83.605,83.487,,-0.14%
04/17/2024,83.65,83.673,83.747,83.589,,0.02%
04/16/2024,83.637,83.534,83.7,83.469,,0.18%
04/15/2024,83.484,83.481,83.544,83.413,,-0.07%
04-12-2024,83.54,83.368,83.622,83.316,,0.26%
