week,subtype,count
2016-11-14,B,28
2016-11-21,B,23
2016-11-28,B,30
2016-12-05,B,32
2016-12-12,B,19
2016-12-19,B,30
2016-12-26,B,27
2017-01-02,B,56
2017-01-09,B,26
2017-01-16,B,24
2017-01-23,B,16
2017-01-30,B,47
2017-02-06,B,45
2017-02-13,B,22
2017-02-20,B,14
2017-02-27,B,40
2017-03-06,B,39
2017-03-13,B,15
2017-03-20,B,10
2017-03-27,B,4
2017-04-03,B,1
2017-04-10,B,1
2017-04-17,B,0
2017-04-24,B,2
2017-05-01,B,0
2017-05-08,B,0
2017-05-15,B,0
2017-05-22,B,0
2017-05-29,B,0
2017-06-05,B,0
2017-06-12,B,0
2017-06-19,B,0
2017-06-26,B,0
2017-07-03,B,0
2017-07-10,B,0
2017-07-17,B,0
2017-07-24,B,0
2017-07-31,B,0
2017-08-07,B,0
2017-08-14,B,0
2017-08-21,B,0
2017-08-28,B,0
2017-09-04,B,0
2017-09-11,B,0
2017-09-18,B,0
2017-09-25,B,0
2017-10-02,B,0
2017-10-09,B,0
2017-10-16,B,0
2017-10-23,B,0
2017-10-30,B,17
2017-11-06,B,31
2017-11-13,B,29
2017-11-20,B,22
2017-11-27,B,36
2017-12-04,B,52
2017-12-11,B,22
2017-12-18,B,20
2017-12-25,B,8
2018-01-01,B,82
2018-01-08,B,22
2018-01-15,B,14
2018-01-22,B,11
2018-01-29,B,41
2018-02-05,B,43
2018-02-12,B,21
2018-02-19,B,5
2018-02-26,B,52
2018-03-05,B,60
2018-03-12,B,13
2018-03-19,B,9
2018-03-26,B,5
2018-04-02,B,0
2018-04-09,B,0
2018-04-16,B,0
2018-04-23,B,0
2018-04-30,B,0
2018-05-07,B,0
2018-05-14,B,0
2018-05-21,B,0
2018-05-28,B,0
2018-06-04,B,0
2018-06-11,B,0
2018-06-18,B,0
2018-06-25,B,0
2018-07-02,B,0
2018-07-09,B,0
2018-07-16,B,0
2018-07-23,B,0
2018-07-30,B,0
2018-08-06,B,0
2018-08-13,B,1
2018-08-20,B,0
2018-08-27,B,0
2018-09-03,B,0
2018-09-10,B,0
2018-09-17,B,0
2018-09-24,B,0
2018-10-01,B,0
2018-10-08,B,0
2018-10-15,B,0
2018-10-22,B,0
2018-10-29,B,17
2018-11-05,B,34
2018-11-12,B,21
2018-11-19,B,20
2018-11-26,B,26
2018-12-03,B,69
2018-12-10,B,25
2018-12-17,B,7
2018-12-24,B,9
2018-12-31,B,75
2019-01-07,B,29
2019-01-14,B,8
2019-01-21,B,13
2019-01-28,B,43
2019-02-04,B,34
2019-02-11,B,10
2019-02-18,B,12
2019-02-25,B,30
2019-03-04,B,33
2019-03-11,B,20
2019-03-18,B,4
2019-03-25,B,7
2019-04-01,B,1
2019-04-08,B,1
2019-04-15,B,0
2019-04-22,B,2
2019-04-29,B,1
2019-05-06,B,0
2019-05-13,B,0
2019-05-20,B,0
2019-05-27,B,0
2019-06-03,B,0
2019-06-10,B,0
2019-06-17,B,0
2019-06-24,B,0
2019-07-01,B,0
2019-07-08,B,1
2019-07-15,B,0
2019-07-22,B,1
2019-07-29,B,0
2019-08-05,B,0
2019-08-12,B,0
2019-08-19,B,0
2019-08-26,B,0
2019-09-02,B,0
2019-09-09,B,0
2019-09-16,B,0
2019-09-23,B,0
2019-09-30,B,0
2019-10-07,B,0
2019-10-14,B,1
2019-10-21,B,0
2019-10-28,B,6
2019-11-04,B,16
2019-11-11,B,13
2019-11-18,B,6
2019-11-25,B,14
2019-12-02,B,27
2019-12-09,B,19
2019-12-16,B,14
2019-12-23,B,9
2019-12-30,B,18
2020-01-06,B,24
2020-01-13,B,21
2020-01-20,B,15
2020-01-27,B,16
2020-02-03,B,22
2020-02-10,B,16
2020-02-17,B,8
2020-02-24,B,8
2020-03-02,B,19
2020-03-09,B,10
2020-03-16,B,0
