iteration,value,parameter,run
62,0.7247952818870544,beta,0
63,0.7166579365730286,beta,0
64,0.7106560468673706,beta,0
65,0.7166398167610168,beta,0
66,0.7193323969841003,beta,0
67,0.7120571732521057,beta,0
68,0.713839590549469,beta,0
69,0.7063668966293335,beta,0
70,0.7194947600364685,beta,0
71,0.7152789831161499,beta,0
72,0.725239634513855,beta,0
73,0.7301613688468933,beta,0
74,0.7338017225265503,beta,0
75,0.7502816915512085,beta,0
76,0.7415511608123779,beta,0
77,0.7359163761138916,beta,0
78,0.731688380241394,beta,0
79,0.7295666337013245,beta,0
80,0.7284314036369324,beta,0
81,0.7224187850952148,beta,0
82,0.7226206660270691,beta,0
83,0.7125291228294373,beta,0
84,0.716403067111969,beta,0
85,0.7217362523078918,beta,0
86,0.7207662463188171,beta,0
87,0.7068777084350586,beta,0
88,0.7147216796875,beta,0
89,0.7153924703598022,beta,0
90,0.713833749294281,beta,0
91,0.7140102386474609,beta,0
92,0.7164651155471802,beta,0
93,0.7322155833244324,beta,0
94,0.7381328344345093,beta,0
95,0.7477038502693176,beta,0
96,0.7396145462989807,beta,0
97,0.7317467331886292,beta,0
98,0.7297162413597107,beta,0
99,0.7352688312530518,beta,0
100,0.7345969676971436,beta,0
101,0.7362903356552124,beta,0
0,0.3400874733924866,gamma,0
1,0.33532795310020447,gamma,0
2,0.3187916874885559,gamma,0
3,0.3335323631763458,gamma,0
4,0.337007075548172,gamma,0
5,0.35102611780166626,gamma,0
6,0.35043662786483765,gamma,0
7,0.35589680075645447,gamma,0
8,0.3509846329689026,gamma,0
9,0.36004939675331116,gamma,0
10,0.36183783411979675,gamma,0
11,0.36843249201774597,gamma,0
12,0.35616737604141235,gamma,0
13,0.3665716052055359,gamma,0
14,0.36555495858192444,gamma,0
15,0.3762889504432678,gamma,0
16,0.38560909032821655,gamma,0
17,0.3757993280887604,gamma,0
18,0.3721850514411926,gamma,0
19,0.37201493978500366,gamma,0
20,0.37741655111312866,gamma,0
21,0.38062283396720886,gamma,0
22,0.3952794075012207,gamma,0
23,0.3905782401561737,gamma,0
24,0.37859198451042175,gamma,0
25,0.38021185994148254,gamma,0
26,0.3730612099170685,gamma,0
27,0.38297510147094727,gamma,0
28,0.39331433176994324,gamma,0
29,0.3924241364002228,gamma,0
30,0.40139296650886536,gamma,0
31,0.39687395095825195,gamma,0
32,0.39055028557777405,gamma,0
33,0.3890518844127655,gamma,0
34,0.3870790898799896,gamma,0
35,0.38666248321533203,gamma,0
36,0.3889007270336151,gamma,0
37,0.4060260057449341,gamma,0
38,0.4080848693847656,gamma,0
39,0.4109724760055542,gamma,0
40,0.4120754599571228,gamma,0
41,0.403652548789978,gamma,0
42,0.39952370524406433,gamma,0
43,0.40160834789276123,gamma,0
44,0.3976810872554779,gamma,0
45,0.39207035303115845,gamma,0
46,0.39206042885780334,gamma,0
47,0.3911989629268646,gamma,0
48,0.3912855386734009,gamma,0
49,0.39155057072639465,gamma,0
50,0.3871898949146271,gamma,0
51,0.3450508415699005,gamma,0
52,0.3575330972671509,gamma,0
53,0.35226330161094666,gamma,0
54,0.362918883562088,gamma,0
55,0.38217538595199585,gamma,0
56,0.3710344731807709,gamma,0
57,0.3771567642688751,gamma,0
58,0.3873993456363678,gamma,0
59,0.4029163122177124,gamma,0
60,0.3942393660545349,gamma,0
61,0.3864465057849884,gamma,0
62,0.3852311670780182,gamma,0
63,0.387693852186203,gamma,0
64,0.3954318165779114,gamma,0
65,0.40029004216194153,gamma,0
66,0.39971157908439636,gamma,0
67,0.4136718809604645,gamma,0
68,0.41746756434440613,gamma,0
69,0.41164594888687134,gamma,0
70,0.40986350178718567,gamma,0
71,0.40734660625457764,gamma,0
72,0.4085372984409332,gamma,0
73,0.4145665168762207,gamma,0
74,0.410002738237381,gamma,0
75,0.396420955657959,gamma,0
76,0.39774420857429504,gamma,0
77,0.3973388671875,gamma,0
78,0.3989102244377136,gamma,0
79,0.3948516845703125,gamma,0
80,0.3931361138820648,gamma,0
81,0.3941473662853241,gamma,0
82,0.39551064372062683,gamma,0
83,0.4054003059864044,gamma,0
84,0.4077852666378021,gamma,0
85,0.422578364610672,gamma,0
86,0.4171329736709595,gamma,0
87,0.415955513715744,gamma,0
88,0.4220724403858185,gamma,0
89,0.42174360156059265,gamma,0
90,0.42628014087677,gamma,0
91,0.4262712895870209,gamma,0
