iteration,value,parameter,run
9,0.6684309840202332,beta,1
10,0.6574154496192932,beta,1
11,0.6567493677139282,beta,1
12,0.6476870179176331,beta,1
13,0.6483109593391418,beta,1
14,0.6462065577507019,beta,1
15,0.6361369490623474,beta,1
16,0.6344022154808044,beta,1
17,0.6367387175559998,beta,1
18,0.6344107389450073,beta,1
19,0.6279124617576599,beta,1
20,0.6345758438110352,beta,1
21,0.6332298517227173,beta,1
22,0.612118661403656,beta,1
23,0.6154876947402954,beta,1
24,0.6089985966682434,beta,1
25,0.6131647825241089,beta,1
26,0.603665292263031,beta,1
27,0.5997995138168335,beta,1
28,0.6139281392097473,beta,1
29,0.6248706579208374,beta,1
30,0.6152840852737427,beta,1
31,0.6241682767868042,beta,1
32,0.6247168779373169,beta,1
33,0.6350101232528687,beta,1
34,0.6415702104568481,beta,1
35,0.6434770226478577,beta,1
36,0.6413590312004089,beta,1
37,0.6390374898910522,beta,1
38,0.6315268278121948,beta,1
39,0.631381094455719,beta,1
40,0.634553849697113,beta,1
41,0.635994553565979,beta,1
42,0.6302427649497986,beta,1
43,0.6236857771873474,beta,1
44,0.6252425312995911,beta,1
45,0.6286524534225464,beta,1
46,0.6223731637001038,beta,1
47,0.621824324131012,beta,1
48,0.6226834654808044,beta,1
49,0.629725456237793,beta,1
50,0.6264418959617615,beta,1
0,0.4102779030799866,gamma,1
1,0.4154262840747833,gamma,1
2,0.4002744257450104,gamma,1
3,0.39453643560409546,gamma,1
4,0.39000532031059265,gamma,1
5,0.39422136545181274,gamma,1
6,0.37806716561317444,gamma,1
7,0.3819591701030731,gamma,1
8,0.39526066184043884,gamma,1
9,0.3882533013820648,gamma,1
10,0.3829021751880646,gamma,1
11,0.3967517018318176,gamma,1
12,0.39289140701293945,gamma,1
13,0.41385602951049805,gamma,1
14,0.4264536201953888,gamma,1
15,0.428198903799057,gamma,1
16,0.4328042268753052,gamma,1
17,0.44979098439216614,gamma,1
18,0.4532289206981659,gamma,1
19,0.45665261149406433,gamma,1
20,0.44364500045776367,gamma,1
21,0.4437826871871948,gamma,1
22,0.4303992986679077,gamma,1
23,0.42944052815437317,gamma,1
24,0.4244266152381897,gamma,1
25,0.4222255349159241,gamma,1
26,0.4105701148509979,gamma,1
27,0.40923216938972473,gamma,1
28,0.40404364466667175,gamma,1
29,0.40383100509643555,gamma,1
30,0.4106596112251282,gamma,1
31,0.41097211837768555,gamma,1
32,0.41210901737213135,gamma,1
33,0.40379798412323,gamma,1
34,0.39939793944358826,gamma,1
35,0.3934464156627655,gamma,1
36,0.3948632776737213,gamma,1
37,0.39467376470565796,gamma,1
38,0.3957288861274719,gamma,1
39,0.3886752128601074,gamma,1
40,0.3774753212928772,gamma,1
41,0.3818221986293793,gamma,1
42,0.38953065872192383,gamma,1
43,0.39441296458244324,gamma,1
44,0.3869309723377228,gamma,1
45,0.3912855386734009,gamma,1
46,0.389375239610672,gamma,1
47,0.3838692307472229,gamma,1
48,0.38423076272010803,gamma,1
49,0.3717937767505646,gamma,1
50,0.37701180577278137,gamma,1
0,0.4795870780944824,kappa,1
1,0.4914838373661041,kappa,1
2,0.4908108115196228,kappa,1
3,0.48329222202301025,kappa,1
4,0.4857563376426697,kappa,1
5,0.48698991537094116,kappa,1
6,0.47711417078971863,kappa,1
7,0.4978379011154175,kappa,1
8,0.5076848268508911,kappa,1
9,0.517819344997406,kappa,1
10,0.4983052909374237,kappa,1
11,0.4892936050891876,kappa,1
12,0.49913835525512695,kappa,1
13,0.5134000182151794,kappa,1
14,0.5249602198600769,kappa,1
15,0.5376015901565552,kappa,1
16,0.538420557975769,kappa,1
17,0.5441827774047852,kappa,1
18,0.5436668992042542,kappa,1
19,0.5496026873588562,kappa,1
20,0.5448369979858398,kappa,1
21,0.5468751192092896,kappa,1
22,0.5387000441551208,kappa,1
23,0.5291652083396912,kappa,1
24,0.5398611426353455,kappa,1
25,0.5342651009559631,kappa,1
26,0.5430899858474731,kappa,1
27,0.5395516157150269,kappa,1
28,0.5419901013374329,kappa,1
29,0.5335959196090698,kappa,1
30,0.5224376320838928,kappa,1
31,0.5233611464500427,kappa,1
32,0.5187310576438904,kappa,1
33,0.5158267617225647,kappa,1
34,0.5075417160987854,kappa,1
35,0.5080915689468384,kappa,1
36,0.501858651638031,kappa,1
37,0.5048195123672485,kappa,1
38,0.497554749250412,kappa,1
39,0.49743136763572693,kappa,1
40,0.5090695023536682,kappa,1
41,0.5130558609962463,kappa,1
42,0.5188050270080566,kappa,1
43,0.5109682083129883,kappa,1
44,0.500874936580658,kappa,1
45,0.5039798021316528,kappa,1
46,0.5031147003173828,kappa,1
47,0.5102095603942871,kappa,1
48,0.5073114037513733,kappa,1
49,0.5152873396873474,kappa,1
50,0.5276055932044983,kappa,1
0,0.5988763570785522,sigma,1
1,0.5995883345603943,sigma,1
2,0.6038826704025269,sigma,1
3,0.6066244840621948,sigma,1
4,0.5838981866836548,sigma,1
5,0.5820928812026978,sigma,1
6,0.5780882239341736,sigma,1
7,0.5804623961448669,sigma,1
8,0.5755631327629089,sigma,1
9,0.5873388648033142,sigma,1
10,0.5914411544799805,sigma,1
11,0.588546633720398,sigma,1
12,0.5938130021095276,sigma,1
13,0.6047989726066589,sigma,1
14,0.5973606705665588,sigma,1
15,0.5946934819221497,sigma,1
16,0.5943306684494019,sigma,1
17,0.5887848734855652,sigma,1
18,0.593002438545227,sigma,1
19,0.5938265919685364,sigma,1
20,0.5926545262336731,sigma,1
21,0.6011059284210205,sigma,1
22,0.5958491563796997,sigma,1
23,0.6043575406074524,sigma,1
24,0.5999070405960083,sigma,1
25,0.6088095903396606,sigma,1
26,0.6060339212417603,sigma,1
27,0.6116675734519958,sigma,1
28,0.6157828569412231,sigma,1
29,0.6203717589378357,sigma,1
30,0.6213394999504089,sigma,1
31,0.6200582385063171,sigma,1
32,0.6238457560539246,sigma,1
33,0.6157141923904419,sigma,1
34,0.6198519468307495,sigma,1
35,0.6235780119895935,sigma,1
36,0.6299523115158081,sigma,1
37,0.6288753747940063,sigma,1
38,0.6239093542098999,sigma,1
39,0.6269994974136353,sigma,1
40,0.6243640184402466,sigma,1
41,0.6324129700660706,sigma,1
42,0.6326635479927063,sigma,1
43,0.6362060308456421,sigma,1
44,0.6366966962814331,sigma,1
45,0.6391369104385376,sigma,1
46,0.6402248740196228,sigma,1
47,0.637637197971344,sigma,1
48,0.637837290763855,sigma,1
49,0.6441961526870728,sigma,1
50,0.6357349157333374,sigma,1
0,0.2517533004283905,phi,1
1,0.24443010985851288,phi,1
2,0.23793981969356537,phi,1
3,0.24529694020748138,phi,1
4,0.25401216745376587,phi,1
5,0.2564851641654968,phi,1
6,0.2526410222053528,phi,1
7,0.2355223447084427,phi,1
8,0.21918247640132904,phi,1
9,0.21907468140125275,phi,1
10,0.22224906086921692,phi,1
11,0.23502294719219208,phi,1
12,0.23166793584823608,phi,1
13,0.24632161855697632,phi,1
14,0.24687619507312775,phi,1
15,0.24860185384750366,phi,1
16,0.24698899686336517,phi,1
17,0.24981141090393066,phi,1
18,0.23975586891174316,phi,1
19,0.24591447412967682,phi,1
20,0.24343492090702057,phi,1
21,0.24826836585998535,phi,1
22,0.2605772614479065,phi,1
23,0.2671683132648468,phi,1
24,0.276885449886322,phi,1
25,0.29139405488967896,phi,1
26,0.2888527512550354,phi,1
27,0.2956826686859131,phi,1
28,0.2827427387237549,phi,1
29,0.28382113575935364,phi,1
30,0.28728345036506653,phi,1
31,0.2841472923755646,phi,1
32,0.278715580701828,phi,1
33,0.2812812030315399,phi,1
34,0.28029632568359375,phi,1
35,0.2738247215747833,phi,1
36,0.2881222069263458,phi,1
37,0.2820764183998108,phi,1
38,0.29305413365364075,phi,1
39,0.290556937456131,phi,1
40,0.29132941365242004,phi,1
41,0.28438764810562134,phi,1
42,0.2858266532421112,phi,1
43,0.2896198630332947,phi,1
44,0.3012182116508484,phi,1
45,0.30827710032463074,phi,1
46,0.29650527238845825,phi,1
47,0.2993052005767822,phi,1
48,0.30028945207595825,phi,1
49,0.30426958203315735,phi,1
50,0.30534741282463074,phi,1
0,2300000.0,N,1
1,2300000.0,N,1
2,2300000.0,N,1
3,2300000.0,N,1
4,2300000.0,N,1
5,2300000.0,N,1
6,2300000.0,N,1
7,2300000.0,N,1
8,2300000.0,N,1
9,2300000.0,N,1
10,2300000.0,N,1
11,2300000.0,N,1
12,2300000.0,N,1
13,2300000.0,N,1
14,2300000.0,N,1
15,2300000.0,N,1
16,2300000.0,N,1
17,2300000.0,N,1
18,2300000.0,N,1
19,2300000.0,N,1
20,2300000.0,N,1
21,2300000.0,N,1
22,2300000.0,N,1
23,2300000.0,N,1
24,2300000.0,N,1
25,2300000.0,N,1
26,2300000.0,N,1
27,2300000.0,N,1
28,2300000.0,N,1
29,2300000.0,N,1
30,2300000.0,N,1
31,2300000.0,N,1
32,2300000.0,N,1
33,2300000.0,N,1
34,2300000.0,N,1
35,2300000.0,N,1
36,2300000.0,N,1
37,2300000.0,N,1
38,2300000.0,N,1
39,2300000.0,N,1
40,2300000.0,N,1
41,2300000.0,N,1
42,2300000.0,N,1
43,2300000.0,N,1
44,2300000.0,N,1
45,2300000.0,N,1
46,2300000.0,N,1
47,2300000.0,N,1
48,2300000.0,N,1
49,2300000.0,N,1
50,2300000.0,N,1
0,0.15465103089809418,rho,1
1,0.15558354556560516,rho,1
2,0.1650087833404541,rho,1
3,0.17347018420696259,rho,1
4,0.18874260783195496,rho,1
5,0.2016877979040146,rho,1
6,0.2100210338830948,rho,1
7,0.20924334228038788,rho,1
8,0.21504759788513184,rho,1
9,0.20307517051696777,rho,1
10,0.19229038059711456,rho,1
11,0.20227433741092682,rho,1
12,0.20718859136104584,rho,1
13,0.20969067513942719,rho,1
14,0.22102537751197815,rho,1
15,0.23511144518852234,rho,1
16,0.2346184402704239,rho,1
17,0.2540709972381592,rho,1
18,0.25215885043144226,rho,1
19,0.24296683073043823,rho,1
20,0.24476724863052368,rho,1
21,0.23665167391300201,rho,1
22,0.25095123052597046,rho,1
23,0.2450377196073532,rho,1
24,0.2515365779399872,rho,1
25,0.24457262456417084,rho,1
26,0.23590971529483795,rho,1
27,0.24709194898605347,rho,1
28,0.23814982175827026,rho,1
29,0.23465830087661743,rho,1
30,0.22265022993087769,rho,1
31,0.2224407196044922,rho,1
32,0.2297184318304062,rho,1
33,0.22955870628356934,rho,1
34,0.2420313060283661,rho,1
35,0.23081471025943756,rho,1
36,0.23402263224124908,rho,1
37,0.23154018819332123,rho,1
38,0.2389509081840515,rho,1
39,0.24812942743301392,rho,1
40,0.25163698196411133,rho,1
41,0.2605579197406769,rho,1
42,0.262785404920578,rho,1
43,0.26326391100883484,rho,1
44,0.2607746720314026,rho,1
45,0.2662246525287628,rho,1
46,0.27040523290634155,rho,1
47,0.27657464146614075,rho,1
48,0.2698301374912262,rho,1
49,0.26874926686286926,rho,1
50,0.2722782492637634,rho,1
0,0.14487530291080475,theta,1
1,0.16555967926979065,theta,1
2,0.17021743953227997,theta,1
3,0.17537648975849152,theta,1
4,0.1929919570684433,theta,1
5,0.21410581469535828,theta,1
6,0.1893448829650879,theta,1
7,0.1913641393184662,theta,1
8,0.1929902285337448,theta,1
9,0.1978975236415863,theta,1
10,0.2132076770067215,theta,1
11,0.21317058801651,theta,1
12,0.2161407321691513,theta,1
13,0.22076036036014557,theta,1
14,0.21276259422302246,theta,1
15,0.21589134633541107,theta,1
16,0.19978667795658112,theta,1
17,0.20124481618404388,theta,1
18,0.21080662310123444,theta,1
19,0.23031042516231537,theta,1
20,0.23802736401557922,theta,1
21,0.21988099813461304,theta,1
22,0.20829391479492188,theta,1
23,0.2147340029478073,theta,1
24,0.22033876180648804,theta,1
25,0.2253706455230713,theta,1
26,0.22536523640155792,theta,1
27,0.23674075305461884,theta,1
28,0.2364603877067566,theta,1
29,0.2321195751428604,theta,1
30,0.2306388020515442,theta,1
31,0.22547143697738647,theta,1
32,0.22972561419010162,theta,1
33,0.23309443891048431,theta,1
34,0.2324676364660263,theta,1
35,0.23787753283977509,theta,1
36,0.2380674183368683,theta,1
37,0.24039822816848755,theta,1
38,0.24111633002758026,theta,1
39,0.24570268392562866,theta,1
40,0.2396109700202942,theta,1
41,0.23199865221977234,theta,1
42,0.23421117663383484,theta,1
43,0.23627541959285736,theta,1
44,0.22468425333499908,theta,1
45,0.22821637988090515,theta,1
46,0.22837068140506744,theta,1
47,0.23137933015823364,theta,1
48,0.22870033979415894,theta,1
49,0.22656148672103882,theta,1
50,0.2345111221075058,theta,1
0,0.7774458527565002,beta,2
1,0.7848749160766602,beta,2
2,0.7941102385520935,beta,2
3,0.7939472794532776,beta,2
4,0.7830036878585815,beta,2
5,0.7740955948829651,beta,2
6,0.7880618572235107,beta,2
7,0.7843257188796997,beta,2
8,0.7891498804092407,beta,2
9,0.7924630045890808,beta,2
10,0.775545060634613,beta,2
11,0.7816867232322693,beta,2
12,0.7816506624221802,beta,2
13,0.7830801010131836,beta,2
14,0.7816120386123657,beta,2
15,0.7829402089118958,beta,2
16,0.787351667881012,beta,2
17,0.7834482192993164,beta,2
18,0.7730064988136292,beta,2
19,0.7783299684524536,beta,2
20,0.7761335968971252,beta,2
21,0.782686173915863,beta,2
22,0.7905619144439697,beta,2
23,0.7940129041671753,beta,2
24,0.7908154129981995,beta,2
25,0.7919808626174927,beta,2
26,0.7911914587020874,beta,2
27,0.7916823029518127,beta,2
28,0.7851483225822449,beta,2
29,0.782853901386261,beta,2
30,0.7876986861228943,beta,2
31,0.780832052230835,beta,2
32,0.775448739528656,beta,2
33,0.7751255631446838,beta,2
34,0.7810545563697815,beta,2
35,0.7841694951057434,beta,2
36,0.7903356552124023,beta,2
37,0.7924993634223938,beta,2
38,0.8022410869598389,beta,2
39,0.7972050905227661,beta,2
40,0.8002349734306335,beta,2
41,0.804302990436554,beta,2
42,0.7995290756225586,beta,2
43,0.8000228404998779,beta,2
44,0.8066664338111877,beta,2
45,0.8104658722877502,beta,2
46,0.8118886947631836,beta,2
47,0.8087368607521057,beta,2
48,0.8064224720001221,beta,2
49,0.7981714010238647,beta,2
50,0.8017208576202393,beta,2
0,0.31178733706474304,gamma,2
1,0.3250770568847656,gamma,2
2,0.31419238448143005,gamma,2
3,0.3289331793785095,gamma,2
4,0.3394991457462311,gamma,2
5,0.3270498514175415,gamma,2
6,0.31536561250686646,gamma,2
7,0.3001754879951477,gamma,2
8,0.30640479922294617,gamma,2
9,0.3061172068119049,gamma,2
10,0.3079056441783905,gamma,2
11,0.3014625906944275,gamma,2
12,0.31179577112197876,gamma,2
13,0.30696481466293335,gamma,2
