p,d,q,P,D,Q,m,bic
3,0,0,1,1,2,12,418.4504180446051
3,0,0,2,1,0,12,483.6055473021538
3,0,0,2,1,1,12,429.4361365580465
3,0,0,2,1,2,12,425.91143005174507
3,0,1,0,1,0,12,640.2790852232894
3,0,1,0,1,1,12,432.31444147668844
3,0,1,0,1,2,12,434.5234458052527
3,0,1,1,1,0,12,518.3410630105243
3,0,1,1,1,1,12,449.235978378453
3,0,1,1,1,2,12,414.5614168273665
3,0,1,2,1,0,12,489.2758932322061
3,0,1,2,1,1,12,435.30556035139165
3,0,1,2,1,2,12,431.98830177612507
3,0,2,0,1,0,12,646.3448370014928
3,0,2,0,1,1,12,437.08674827061816
3,0,2,0,1,2,12,440.23746599512737
3,0,2,1,1,0,12,524.5496578734934
3,0,2,1,1,1,12,455.4062817315002
3,0,2,1,1,2,12,436.4395560678156
3,0,2,2,1,0,12,495.53238080240595
3,0,2,2,1,1,12,442.1640408649098
3,0,2,2,1,2,12,448.250012159675
3,0,3,0,1,0,12,651.4914303074383
3,0,3,0,1,1,12,417.14784117473874
3,0,3,0,1,2,12,412.7981668892086
3,0,3,1,1,0,12,529.2042532854674
3,0,3,1,1,1,12,460.19090737595116
3,0,3,1,1,2,12,403.97782678446464
3,0,3,2,1,0,12,460.7641370729947
3,0,3,2,1,1,12,446.74990599615535
3,0,3,2,1,2,12,442.06691534150923
3,1,0,0,1,0,12,662.4593482591873
3,1,0,0,1,1,12,428.2275253821535
3,1,0,0,1,2,12,430.5030247623629
3,1,0,1,1,0,12,527.0325060892252
3,1,0,1,1,1,12,444.2716965836323
3,1,0,1,1,2,12,420.1327683421288
3,1,0,2,1,0,12,492.5374790733483
3,1,0,2,1,1,12,429.64434783615627
3,1,0,2,1,2,12,424.7517846008897
3,1,1,0,1,0,12,640.572370988983
3,1,1,0,1,1,12,420.5875210170993
3,1,1,0,1,2,12,422.8073748395968
3,1,1,1,1,0,12,514.3637352480437
3,1,1,1,1,1,12,438.3975736477962
3,1,1,1,1,2,12,415.18604375863293
3,1,1,2,1,0,12,481.0773092469927
3,1,1,2,1,1,12,420.9418187126459
3,1,1,2,1,2,12,427.3109890271982
3,1,2,0,1,0,12,647.6134418731124
3,1,2,0,1,1,12,425.72571657098496
3,1,2,0,1,2,12,427.06468592980997
3,1,2,1,1,0,12,514.2999167396799
3,1,2,1,1,1,12,444.6020658563498
3,1,2,1,1,2,12,418.8547482047216
3,1,2,2,1,0,12,482.33774027832175
3,1,2,2,1,1,12,427.5675480206816
